ID,SKU,Type,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Regular Price,Sale Price
,MD1801_202a30,variation,Şişme Rugan Mont,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1801,,,,,,0,Beden,L,,,,,,,,,179.0,
,MD1801_255981,variation,Şişme Rugan Mont,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1801,,,,,,0,Beden,M,,,,,,,,,179.0,
,MD1801_285e22,variation,Şişme Rugan Mont,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1801,,,,,,0,Beden,S,,,,,,,,,179.0,
,MD1802,variable,Pembe Bluz,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,"https://st1.myideasoft.com/idea/ek/76/myassets/products/063/moda-celikler-pembe-bluz-gif2.gif,https://st2.myideasoft.com/idea/ek/76/myassets/products/063/moda-celikler-pembe-bluz-gif1.gif,https://st3.myideasoft.com/idea/ek/76/myassets/products/063/moda-celikler-pembe-bluz.gif",,,,,,,,,0,Beden,"L, M, S",1,,,,,,,,,
,MD1802_d766b0,variation,Pembe Bluz,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD1802,,,,,,0,Beden,L,,,,,,,,,99.99,
,MD1802_dc6901,variation,Pembe Bluz,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD1802,,,,,,0,Beden,M,,,,,,,,,99.99,
,MD1802_df55d2,variation,Pembe Bluz,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Tops > Shirts &amp; Blouses, All products > Clothing > Tops",,,,,,MD1802,,,,,,0,Beden,S,,,,,,,,,99.99,
,MD1803,variable,Uzun Şişme Mont,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,"https://st3.myideasoft.com/idea/ek/76/myassets/products/068/moda-celikler-sisme-mont-gif1.gif,https://st2.myideasoft.com/idea/ek/76/myassets/products/068/moda-celikler-sisme-mont.gif",,,,,,,,,0,RENK,VİZON,1,,,,,,,,,
,MD1803_0a0b81,variation,Uzun Şişme Mont,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing, All products > Clothing > Coats",,,,,,MD1803,,,,,,0,RENK,VİZON,,,,,,,,,249.99,
,MD1804,variable,Yumoş Hırka,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing > Tops > Cardigans, All products > Clothing, All products > Clothing > Tops",,,"https://st2.myideasoft.com/idea/ek/76/myassets/products/071/moda-celikler-hirka.gif,https://st1.myideasoft.com/idea/ek/76/myassets/products/071/moda-celikler-hirka-1.gif,https://st3.myideasoft.com/idea/ek/76/myassets/products/071/moda-celikler-hirka-gif1.gif,https://st1.myideasoft.com/idea/ek/76/myassets/products/071/moda-celikler-hirka-gif2.gif",,,,,,,,,0,RENK,"PEMBE, VİZON",1,,,,,,,,,
,MD1804_39d550,variation,Yumoş Hırka,0,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,,,,"All products, All products > Clothing > Tops > Cardigans, All products > Clothing, All products > Clothing > Tops",,,,,,MD1804,,,,,,0,RENK,PEMBE,,,,,,,,,89.99,
